index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.npr.org/2023/04/02/1167631441/north-atlantic-right-whale-cape-cod-tangled,https://www.npr.org/2023/04/02/1167631441/north-atlantic-right-whale-cape-cod-tangled,0,www.npr.org,Up to 70 North Atlantic right whales were spotted in Cape Cod Bay,As many as 70 of the endangered whales were seen feeding off the Massachusetts coast on Friday. Fewer than 350 North Atlantic right whales exist in the world.,https://media.npr.org/assets/img/2023/04/01/ap21298490874067_wide-9807021a4c75fba872248f05bb141eea715cc965-s1400-c100.jpg,2023-04-02T09:00:14Z,,"A North Atlantic right whale is seen in 2018 feeding in Cape Cod bay off the coast of Plymouth, Mass. As many as 70 right whales were seen in the area on Friday.
Michael Dwyer/AP
About one-fifth of… [+1752 chars]",,en,'endangered species'
https://gizmodo.com/open-channel-mcu-skrull-reveal-1850292225,https://gizmodo.com/open-channel-mcu-skrull-reveal-1850292225,0,gizmodo.com,Open Channel: Who'd Be the MCU's Silliest (or Dumbest) Skrull Reveal?,"Image: Marvel Studios
Earlier in the week, Marvel finally pulled back the curtain on Secret Invasion, one of the many Disney+ shows they’ve still got in the pipeline. Based on a 2008 comic book event from Brian Michael Bendis and Lenil Francis Yu, the series…","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/4908418463247e0686db2276bf0b6275.jpg",2023-04-02T18:15:00Z,,"Earlier in the week, Marvel finally pulled back the curtain on Secret Invasion, one of the many Disney+ shows theyve still got in the pipeline. Based on a 2008 comic book event from Brian Michael Ben… [+1783 chars]",,en,'endangered species'
https://www.washingtonpost.com/dc-md-va/2023/03/30/census-population-immigration-dc-new-york/,https://www.washingtonpost.com/dc-md-va/2023/03/30/census-population-immigration-dc-new-york/,0,www.washingtonpost.com,"Americans are returning to cities after remote-work exodus, data shows","Eleven of the 15 largest metro areas showed population upticks in 2022, as immigration trends rebounded to levels not seen since the Obama administration.",https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/EAEOBXDQNQI6XBP24DGLGZQDLA.jpg&w=1440,2023-04-02T02:47:04Z,,"Comment on this story
The exodus of people fleeing large urban areas during the height of the pandemic appears to be reversing, according to data from the Census Bureaureleased Thursday.
Many worke… [+5930 chars]",,en,'endangered species'
https://www.businessinsider.com/fast-food-environmental-impact-beef-tiktok-viral-2023-4,https://www.businessinsider.com/fast-food-environmental-impact-beef-tiktok-viral-2023-4,0,www.businessinsider.com,"Viral fast-food hacks, like the Chipotle 'fajita quesadilla,' prove American appetites haven't caught up to the climate crisis","Burritos and burgers from chains including Taco Bell, McDonald's, and Chipotle have cultlike followings, but all that beef is bad for the planet.",https://i.insider.com/6427356945ef1b001984c7ae?width=1200&format=jpeg,2023-04-03T17:54:01Z,https://web.archive.org/web/20230403195039/http://www.businessinsider.com/fast-food-environmental-impact-beef-tiktok-viral-2023-4,"Americans love their beef.Photo by Jerry Cooke/Corbis via Getty Images; Alyssa Powell/Insider
Insider
Alexis Frost didn't expect her Chipotle hack to make millions of stomachs rumble.The TikTok cre… [+11124 chars]",,en,'deforestation'
https://truthout.org/articles/is-a-livable-future-still-possible-chomsky-and-pollin-discuss-the-ipcc-report/,https://truthout.org/articles/is-a-livable-future-still-possible-chomsky-and-pollin-discuss-the-ipcc-report/,0,truthout.org,Is a Livable Future Still Possible? Chomsky and Pollin Discuss the IPCC Report.,The report from the UN Intergovernmental Panel on Climate Change shows how capitalism undergirds the climate crisis.,https://truthout.org/app/uploads/2023/03/2023_0330-chomsky-pollin-rd-b-scaled.jpg,2023-04-03T17:05:24Z,https://web.archive.org/web/20230403213236/https://truthout.org/articles/is-a-livable-future-still-possible-chomsky-and-pollin-discuss-the-ipcc-report/,The UN Intergovernmental Panel on Climate Change (IPCC) has released a new climate report which updates and combines the findings from all past reports in the IPCCs sixth assessment. The synthesis re… [+35852 chars],,en,'deforestation'
https://www.theguardian.com/politics/2023/apr/03/pacific-trade-deal-make-mockery-uk-climate-ambitions-cptpp,https://www.theguardian.com/politics/2023/apr/03/pacific-trade-deal-make-mockery-uk-climate-ambitions-cptpp,0,www.theguardian.com,Pacific trade deal ‘will make mockery of UK’s climate ambitions’,"CPTPP membership will result in more deforestation and endanger animal welfare, say campaignersThe UK’s membership of a Pacific trade agreement will result in more deforestation overseas, endanger animal welfare and “make a mockery” of the government’s enviro…",https://i.guim.co.uk/img/media/3f66df7f3e6af7c131a71eef806fab8b2783eac4/0_23_3000_1800/master/3000.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=f0b6eb2478ab6169d343869037379bd5,2023-04-03T15:21:13Z,https://web.archive.org/web/20230403161547/https://www.theguardian.com/politics/2023/apr/03/pacific-trade-deal-make-mockery-uk-climate-ambitions-cptpp,"The UKs membership of a Pacific trade agreement will result in more deforestation overseas, endanger animal welfare and make a mockery of the governments environmental commitments, campaigners have s… [+5326 chars]",,en,'deforestation'
https://www.project-syndicate.org/commentary/sustainability-linked-sovereign-bonds-can-help-indebted-countries-climate-action-by-simon-zadek-2023-04,https://www.project-syndicate.org/commentary/sustainability-linked-sovereign-bonds-can-help-indebted-countries-climate-action-by-simon-zadek-2023-04,0,www.project-syndicate.org,A Silent Revolution in Sovereign Finance,"Though a country’s fiscal health plays a major role in shaping its response to climate change and nature degradation, traditional political mechanisms approach these issues separately, with poor results. An emerging innovation in sovereign finance – sustainab…",https://webapi.project-syndicate.org/library/407a30983f40fd19d0fa1a5d75816b59.2-1-super.1.jpg,2023-04-03T14:50:58Z,https://web.archive.org/web/20230403224847/https://www.project-syndicate.org/commentary/sustainability-linked-sovereign-bonds-can-help-indebted-countries-climate-action-by-simon-zadek-2023-04,"Though a countrys fiscal health plays a major role in shaping its response to climate change and nature degradation, traditional political mechanisms approach these issues separately, with poor resul… [+6217 chars]",,en,'deforestation'
https://www.euractiv.com/section/eu-china/opinion/the-brief-tintin-in-china/,https://www.euractiv.com/section/eu-china/opinion/the-brief-tintin-in-china/,0,www.euractiv.com,The Brief — Tintin in China,"French President Emmanuel Macron's visit to China will start tomorrow (4 April), a high-risk operation that may dent his international stature. But just like Tintin, the globetrotter character of Hergé, Macron will do his best to keep the Chinese dragon away …",https://www.euractiv.com/wp-content/uploads/sites/2/2023/04/The-Brief-web-version-32-800x450.png,2023-04-03T14:20:06Z,https://web.archive.org/web/20230403144408/https://www.euractiv.com/section/eu-china/opinion/the-brief-tintin-in-china/,"French President Emmanuel Macron’s visit to China will start tomorrow (4 April), a high-risk operation that may dent his international stature. But just like Tintin, the globetrotter character of Her… [+4884 chars]",,en,'deforestation'
https://phys.org/news/2023-04-disrupted-ecosystems-infected-coronaviruses-reveals.html,https://phys.org/news/2023-04-disrupted-ecosystems-infected-coronaviruses-reveals.html,0,phys.org,"Bats in disrupted ecosystems are more infected with coronaviruses, reveals study","Over the past 20 years, coronaviruses in wild bat populations have led to three major disease outbreaks in humans: SARS in 2002, MERS in 2012 and COVID-19. The latter triggered an ongoing global pandemic. In turn, this has focused greater attention on zoonoti…",https://scx2.b-cdn.net/gfx/news/hires/2023/bats-in-disrupted-ecos.jpg,2023-04-03T13:02:03Z,https://web.archive.org/web/20230403162313/https://phys.org/news/2023-04-disrupted-ecosystems-infected-coronaviruses-reveals.html,"Over the past 20 years, coronaviruses in wild bat populations have led to three major disease outbreaks in humans: SARS in 2002, MERS in 2012 and COVID-19. The latter triggered an ongoing global pand… [+3445 chars]",,en,'deforestation'
https://www.forbes.com/sites/kensilverstein/2023/04/03/voluntary-carbon-markets-give-a-pittance-of-the-proceeds-to-global-south/,https://www.forbes.com/sites/kensilverstein/2023/04/03/voluntary-carbon-markets-give-a-pittance-of-the-proceeds-to-global-south/,0,www.forbes.com,Voluntary Carbon Markets Give A Pittance Of The Proceeds To Global South,We need to ensure that the citizens of those rainforest lands are fairly compensated and that the bulk of the money does not end up in the hands of investors or bureaucrats.,https://imageio.forbes.com/specials-images/imageserve/6426e62a3b2768583e217d99/0x0.jpg?format=jpg&width=1200,2023-04-03T12:45:00Z,https://web.archive.org/web/20230403133151/https://www.forbes.com/sites/kensilverstein/2023/04/03/voluntary-carbon-markets-give-a-pittance-of-the-proceeds-to-global-south/,"A tourist covers himself with a raincoat on June 29, 2018 in the rainforest overlooking the ... [+] waterfalls at Vitoria Falls. - After nearly two decades in the doldrums, Zimbabwe's tourism sector … [+7088 chars]",,en,'deforestation'
