keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'biodiversity',en,biodiversity,#16520f,#226e18,1,0.6012872757187909
'species extinction',en,extinction,#802017,#a31d2f,1,0.5258090476972618
'wildlife conservation',en ,conservation,#2d5496,#0c1b63,1,8.171832197361234e-14
'species conservation',en,conservation,#2d5496,#4c60c7,1,0.4697045835627686
'endangered species',en,extinction,#802017,#b33646,1,0.577685873738563
'threatened species',en,extinction,#802017,#a35b43,1,0.5610009849398842
'insect mortality',en,extinction,#802017,#9c4122,1,0.0149219832012311
'insect extinction',en,extinction,#802017,#993412,1,9.834294076634e-05
'diversity of species',en,biodiversity,#16520f,#468c3c,1,0.4544930020634928
'species diversity',en,biodiversity,#16520f,#26571f,1,0.5146233693146273
'zero-extinction',en,conservation,#2d5496,#1f2c6b,1,0.0014582213578895
'zero extinctions',en,conservation,#2d5496,#374587,1,0.0007366962599692
'SDG 14',en,conservation,#2d5496,#3c70c9,1,0.200535037432491
'SDG 15',en,conservation,#2d5496,#14356e,1,0.0978640245682567
'Sustainable Development Goal 14',en,conservation,#2d5496,#0c2652,1,0.4445495610261343
'Sustainable Development Goal 15',en,conservation,#2d5496,#4168ab,1,0.094484070113485
'land degradation',en,environment,#a88532,#735819,1,0.4160713522312796
'deforestation',en,environment,#a88532,#96814e,1,0.6396688045190793
'reforestation',en,environment,#a88532,#6e5d2c,1,0.605216443197434
'Desertification',en,environment,#a88532,#968141,1,0.5647569830500463
'ecosystem',en,environment,#a88532,#debf76,1,0.6552863127374111
'invasive alien species',en,invasive,#ba30ba,#c248c2,1,0.4143772666614634
'protected species',en,conservation,#2d5496,#1e4485,1,0.4801464951675849
'rare species',en,extinction,#802017,#b03227,1,0.5152931489788546
'poaching',en,extinction,#802017,#52140f,1,0.5722876229034083
'invasive species',en,invasive,#ba30ba,#751575,1,0.5607457469376532
